STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;eor
        691;18900628;    5;   2.0;   1;   0;eor
        691;18900629;    5;   1.8;   1;   0;eor
        691;18900630;    5;   4.1;   1;   0;eor
        691;18900701;    5;   3.3;   1;   0;eor
        691;18900702;    5;   1.9;   1;   0;eor
        691;18900703;    5;   4.5;   1;   0;eor
        691;18900704;    5;   1.1;   1;   0;eor
        691;18900705;    5;  12.8;   1;   0;eor
        691;18900706;    5;   4.4;   1;   0;eor
        691;18900707;    5;   1.4;   1;   0;eor
        691;18900708;    5;   1.6;   1;   0;eor
        691;18900709;    5;  16.7;   1;   0;eor
        691;18900710;    5;   0.0;   0;   0;eor
        691;18900711;    5;   0.9;   1;   0;eor
        691;18900712;    5;   0.0;   0;   0;eor
        691;18900713;    5;   0.0;   0;   0;eor
        691;18900714;    5;   0.0;   0;   0;eor
        691;18900715;    5;   3.2;   1;   0;eor
        691;18900716;    5;   0.0;   0;   0;eor
        691;18900717;    5;   8.7;   1;   0;eor
        691;18900718;    5;   3.0;   1;   0;eor
        691;18900719;    5;  14.4;   1;   0;eor
        691;18900720;    5;   8.0;   1;   0;eor
        691;18900721;    5;   0.0;   0;   0;eor
        691;18900722;    5;   5.2;   1;   0;eor
        691;18900723;    5;   2.6;   1;   0;eor
        691;18900724;    5;  11.0;   1;   0;eor
        691;18900725;    5;   4.8;   1;   0;eor
        691;18900726;    5;   0.0;   0;   0;eor
        691;18900727;    5;   0.0;   0;   0;eor
        691;18900728;    5;   2.7;   1;   0;eor
        691;18900729;    5;   0.9;   1;   0;eor
        691;18900730;    5;   0.1;   1;   0;eor
        691;18900731;    5;   0.0;   0;   0;eor
        691;18900801;    5;   0.3;   1;   0;eor
        691;18900802;    5;   0.0;   1;   0;eor
        691;18900803;    5;   0.0;   0;   0;eor
        691;18900804;    5;   0.0;   0;   0;eor
        691;18900805;    5;   0.0;   0;   0;eor
        691;18900806;    5;   1.7;   1;   0;eor
        691;18900807;    5;   0.0;   0;   0;eor
        691;18900808;    5;   0.0;   0;   0;eor
        691;18900809;    5;   0.0;   0;   0;eor
        691;18900810;    5;   4.6;   1;   0;eor
        691;18900811;    5;   7.8;   1;   0;eor
        691;18900812;    5;   5.6;   1;   0;eor
        691;18900813;    5;   2.1;   1;   0;eor
        691;18900814;    5;   4.2;   1;   0;eor
        691;18900815;    5;   0.3;   1;   0;eor
        691;18900816;    5;   4.3;   1;   0;eor
        691;18900817;    5;   0.0;   0;   0;eor
        691;18900818;    5;   1.7;   1;   0;eor
        691;18900819;    5;   0.0;   0;   0;eor
        691;18900820;    5;   0.5;   1;   0;eor
        691;18900821;    5;   5.4;   1;   0;eor
        691;18900822;    5;   0.0;   0;   0;eor
        691;18900823;    5;   0.4;   1;   0;eor
        691;18900824;    5;   0.0;   1;   0;eor
        691;18900825;    5;   0.0;   0;   0;eor
        691;18900826;    5;   1.6;   1;   0;eor
        691;18900827;    5;   7.2;   1;   0;eor
        691;18900828;    5;   2.5;   1;   0;eor
        691;18900829;    5;   2.1;   1;   0;eor
        691;18900830;    5;   1.7;   1;   0;eor
        691;18900831;    5;   1.7;   1;   0;eor
        691;18900901;    5;   0.2;   1;   0;eor
        691;18900902;    5;   0.0;   0;   0;eor
        691;18900903;    5;   0.0;   0;   0;eor
        691;18900904;    5;   2.0;   1;   0;eor
        691;18900905;    5;   0.0;   0;   0;eor
        691;18900906;    5;   0.0;   0;   0;eor
        691;18900907;    5;   0.0;   1;   0;eor
        691;18900908;    5;   0.0;   0;   0;eor
        691;18900909;    5;   0.0;   0;   0;eor
        691;18900910;    5;   0.0;   0;   0;eor
        691;18900911;    5;   1.6;   1;   0;eor
        691;18900912;    5;   0.0;   1;   0;eor
        691;18900913;    5;   0.0;   0;   0;eor
        691;18900914;    5;   0.0;   0;   0;eor
        691;18900915;    5;   0.0;   0;   0;eor
        691;18900916;    5;   0.0;   0;   0;eor
        691;18900917;    5;   0.0;   0;   0;eor
        691;18900918;    5;   0.0;   0;   0;eor
        691;18900919;    5;   0.1;   1;   0;eor
        691;18900920;    5;   0.0;   0;   0;eor
        691;18900921;    5;   0.0;   1;   0;eor
        691;18900922;    5;   0.2;   1;   0;eor
        691;18900923;    5;   0.1;   1;   0;eor
        691;18900924;    5;   0.0;   1;   0;eor
        691;18900925;    5;   0.5;   1;   0;eor
        691;18900926;    5;   3.9;   1;   0;eor
        691;18900927;    5;   0.2;   1;   0;eor
        691;18900928;    5;   0.0;   0;   0;eor
        691;18900929;    5;   0.0;   0;   0;eor
        691;18900930;    5;   0.0;   0;   0;eor
        691;18901001;    5;   2.6;   1;   0;eor
        691;18901002;    5;   0.7;   1;   0;eor
        691;18901003;    5;   0.0;   0;   0;eor
        691;18901004;    5;   2.6;   1;   0;eor
        691;18901005;    5;   0.0;   1;   0;eor
        691;18901006;    5;   0.6;   1;   0;eor
        691;18901007;    5;  17.6;   1;   0;eor
        691;18901008;    5;   0.1;   1;   0;eor
