STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_6;MO_NSH;MO_RR;MO_SH_S;MX_RS;eor
        691;19080301;19080331;    5;   -999;    35.2;-999;    6.9;eor
        691;19080401;19080430;    5;   -999;    56.1;-999;   13.6;eor
        691;19080501;19080531;    5;   -999;    81.2;-999;   16.0;eor
        691;19080601;19080630;    5;   -999;    91.2;-999;   34.3;eor
        691;19080701;19080731;    5;   -999;   114.9;-999;   45.2;eor
        691;19080801;19080831;    5;   -999;    77.2;-999;   12.9;eor
        691;19080901;19080930;    5;   -999;    46.7;-999;    7.2;eor
        691;19081001;19081031;    5;   -999;     1.6;-999;    1.1;eor
        691;19081101;19081130;    5;   -999;    17.4;-999;    3.4;eor
        691;19081201;19081231;    5;   -999;    15.0;-999;    3.5;eor
        691;19090101;19090131;    5;   -999;    41.8;-999;    8.5;eor
        691;19090201;19090228;    5;   -999;    54.6;-999;   21.2;eor
        691;19090301;19090331;    5;   -999;    38.2;-999;   10.0;eor
        691;19090401;19090430;    5;   -999;    66.2;-999;   12.7;eor
        691;19090501;19090531;    5;   -999;    39.0;-999;   13.8;eor
        691;19090601;19090630;    5;   -999;    45.2;-999;   12.3;eor
        691;19090701;19090731;    5;   -999;   185.2;-999;   39.6;eor
        691;19090801;19090831;    5;   -999;    48.9;-999;    8.6;eor
        691;19090901;19090930;    5;   -999;   112.5;-999;   62.8;eor
        691;19091001;19091031;    5;   -999;    42.7;-999;   13.0;eor
        691;19091101;19091130;    5;   -999;    60.8;-999;   12.7;eor
        691;19091201;19091231;    5;   -999;    60.2;-999;   12.8;eor
        691;19100101;19100131;    5;   -999;    74.9;-999;   21.6;eor
        691;19100201;19100228;    5;   -999;    74.9;-999;   12.8;eor
        691;19100301;19100331;    5;   -999;    27.6;-999;   16.8;eor
        691;19100401;19100430;    5;   -999;    42.3;-999;    6.9;eor
        691;19100501;19100531;    5;   -999;    49.7;-999;   10.0;eor
        691;19100601;19100630;    5;   -999;    76.8;-999;   22.3;eor
        691;19100701;19100731;    5;   -999;   109.0;-999;   21.0;eor
        691;19100801;19100831;    5;   -999;    91.9;-999;   53.1;eor
        691;19100901;19100930;    5;   -999;    83.8;-999;   19.3;eor
        691;19101001;19101031;    5;   -999;    19.8;-999;    7.4;eor
        691;19101101;19101130;    5;   -999;    56.7;-999;   10.1;eor
        691;19101201;19101231;    5;   -999;    43.1;-999;   11.3;eor
        691;19110101;19110131;    5;   -999;    29.9;-999;   10.5;eor
        691;19110201;19110228;    5;   -999;    72.3;-999;    7.5;eor
        691;19110301;19110331;    5;   -999;    57.8;-999;   11.0;eor
        691;19110401;19110430;    5;   -999;    31.0;-999;    7.8;eor
        691;19110501;19110531;    5;   -999;    18.3;-999;    4.6;eor
        691;19110601;19110630;    5;   -999;    50.8;-999;    9.3;eor
        691;19110701;19110731;    5;   -999;    26.5;-999;    7.0;eor
        691;19110801;19110831;    5;   -999;    27.5;-999;   10.3;eor
        691;19110901;19110930;    5;   -999;    34.5;-999;   11.6;eor
        691;19111001;19111031;    5;   -999;    65.8;-999;    9.4;eor
        691;19111101;19111130;    5;   -999;    49.6;-999;   11.2;eor
        691;19111201;19111231;    5;   -999;    57.9;-999;    6.3;eor
        691;19120101;19120131;    5;   -999;    33.8;-999;    9.2;eor
        691;19120201;19120229;    5;   -999;    55.0;-999;   12.1;eor
        691;19120301;19120331;    5;   -999;    38.7;-999;    7.5;eor
        691;19120401;19120430;    5;   -999;    35.0;-999;    7.6;eor
        691;19120501;19120531;    5;   -999;    80.0;-999;   28.2;eor
        691;19120601;19120630;    5;   -999;   121.2;-999;   30.1;eor
